CHN,DEU,FRA,GBR,JPN,RUS,USA
11405.018,57858.42,50085.684,46949.02,40967.344,34444.645,60245.484
12217.8545,58017.586,49935.625,47328.21,41596.92,35740.7,61134.53
13080.829,58089.17,50066.53,47820.28,42492.242,36260.066,61958.723
13968.581,59108.7,50326.566,48964.285,42674.7,35853.246,63018.805
14856.78,59573.707,50682.895,49652.72,43386.71,35037.152,64359.473
15772.765,60407.973,50984.074,50346.86,43736.13,35005.45,65017.656
16757.973,61866.49,51895.566,51586.676,44505.277,35570.39,66155.555
17806.791,62381.348,52560.953,52131.695,44848.49,36536.695,67719.766
18820.514,62849.375,53448.555,52515.684,44730.91,37319.32,69112.6
19215.154,60203.29,49311.332,47158.984,42992.48,36376.336,67342.07
20843.297,62530.766,52517.336,51004.426,44355.348,38638.43,71307.4
21499.383,63676.086,53673.812,53139.152,44972.344,38214.496,72679.26
22687.076,63039.37,54296.723,52592.684,45858.66,39887.34,74158.72
23845.62,62554.555,54799.348,52621.18,46106.92,41704.71,75489.266
